speed,acceleration,brake_force,steering_rate,following_distance,blink_frequency,risk_score,risk_label
87.8,-0.06,0.023,1.6,40.5,8.6,0.0012,0
68.6,-0.33,0.066,54.8,2.1,12.5,0.2387,2
91.2,-0.93,0.08,35.8,20.3,42.6,0.2142,2
43.1,-0.79,0.086,1.6,6.7,3.8,0.1751,1
133.6,-0.97,0.149,7.4,5.1,3.8,0.3574,2
32.2,-0.9,0.12,1.0,6.8,39.3,0.2183,2
112.4,-2.14,0.193,1.3,10.2,42.9,0.189,1
49.9,0.12,0.005,12.3,45.4,13.9,0.0124,0
58.1,-1.76,0.178,20.2,9.3,25.8,0.079,0
101.4,2.05,0.0,9.3,107.4,25.5,0.1119,1
125.4,-0.56,0.111,1.2,1.0,3.9,0.3841,2
25.7,0.74,0.005,17.5,43.1,24.0,0.0,0
85.9,0.74,0.002,19.9,4.1,25.6,0.2163,2
74.4,-3.31,0.496,8.2,36.8,27.4,0.1275,1
34.6,-0.48,0.066,5.4,25.1,1.6,0.1039,1
90.0,3.09,0.002,5.2,22.4,4.3,0.1871,1
36.2,-1.4,0.219,10.8,5.9,25.3,0.0467,0
74.9,4.09,0.002,24.7,30.6,7.8,0.1375,1
50.4,0.98,0.007,23.8,17.2,9.8,0.0,0
59.3,0.93,0.005,15.4,63.9,9.0,0.0959,0
60.6,0.43,0.006,4.4,6.1,22.2,0.1338,1
98.8,1.88,0.001,5.2,50.3,26.8,0.0593,0
37.0,1.98,0.006,13.0,33.9,17.0,0.0239,0
80.6,-0.03,0.022,11.8,2.5,19.6,0.1706,1
54.1,-0.77,0.128,25.0,18.9,4.3,0.154,1
56.6,-2.56,0.18,15.7,29.9,23.3,0.0332,0
86.3,1.46,0.005,38.4,2.1,15.0,0.2234,2
50.2,0.12,0.005,2.5,11.4,42.7,0.0526,0
55.6,-1.52,0.268,25.6,35.6,32.9,0.1022,1
71.5,-1.04,0.17,36.5,14.6,9.7,0.0676,0
33.6,-0.12,0.044,23.6,5.9,17.4,0.088,0
54.8,-1.77,0.157,1.5,4.2,25.5,0.2026,2
79.3,0.09,0.0,28.4,44.0,9.7,0.0264,0
14.6,-2.92,0.407,14.2,1.7,16.5,0.2411,2
28.1,-0.96,0.125,4.5,3.2,34.9,0.2247,2
56.2,-2.09,0.321,6.1,45.3,31.6,0.0626,0
81.7,0.36,0.001,0.7,27.8,14.6,0.0656,0
137.5,-1.76,0.19,5.3,6.7,15.1,0.2369,2
51.8,-1.01,0.119,2.8,4.5,38.5,0.2098,2
21.9,4.07,0.004,12.7,3.0,21.6,0.1503,1
19.4,1.56,0.003,8.3,1.2,16.6,0.1901,1
52.6,1.08,0.0,27.2,5.9,19.0,0.0762,0
125.5,2.34,0.002,9.6,36.5,10.9,0.1954,1
19.2,0.92,0.006,15.0,23.8,5.7,0.0499,0
58.3,-2.53,0.422,16.7,31.7,16.8,0.2119,2
76.9,-2.37,0.265,0.7,91.0,32.2,0.0622,0
43.2,-4.88,0.617,17.2,13.9,17.9,0.1652,1
99.1,0.36,0.007,1.8,64.9,17.5,0.0927,0
103.7,-1.91,0.222,2.5,2.0,26.1,0.2487,2
26.3,-1.03,0.14,7.0,38.8,21.2,0.0,0
85.4,-0.58,0.05,6.3,24.3,4.8,0.0959,0
84.1,-1.1,0.161,30.7,25.5,23.2,0.076,0
58.7,-0.06,0.025,5.9,1.0,1.5,0.2601,2
39.8,-0.51,0.046,5.5,5.7,32.3,0.1974,2
111.6,-0.69,0.101,17.2,76.9,25.2,0.0893,0
28.1,-2.79,0.212,3.5,26.3,24.7,0.1098,1
46.6,0.44,0.007,16.0,61.6,41.0,0.0963,1
85.3,3.92,0.0,2.8,3.8,8.9,0.1765,1
90.3,0.5,0.007,5.2,19.6,27.0,0.0771,0
113.5,4.08,0.007,24.4,7.3,21.9,0.2678,2
38.7,-1.02,0.118,6.4,86.3,25.6,0.0577,0
106.2,-0.45,0.041,26.7,36.3,15.8,0.2062,2
73.4,-0.04,0.006,4.7,84.4,25.2,0.039,0
71.3,-0.31,0.049,0.9,1.0,19.1,0.229,2
61.4,2.1,0.005,14.4,6.4,30.0,0.1697,1
109.7,-3.94,0.4,2.9,61.7,22.8,0.1012,1
24.4,-0.82,0.115,13.8,4.3,29.5,0.1295,1
20.9,2.99,0.007,8.6,27.9,2.8,0.1694,1
117.3,-0.89,0.108,36.7,64.6,15.2,0.2001,2
87.7,1.67,0.004,5.5,1.0,8.8,0.159,1
